Term;Count;%;PValue;Genes;Fold Enrichment;FDR
response to molecule of bacterial origin;51;2.322404372;1.79E-25;AT5G22520, AT1G16670, AT4G14365, AT4G36670, AT4G36150, AT1G76970, AT1G51790, AT3G48640, AT2G04495, AT3G50930, AT1G62810, AT2G13800, AT3G26210, AT4G23610, AT5G54720, AT2G17120, AT1G53920, AT4G11000, AT5G53110, AT3G19010, AT5G25930, AT4G31800, AT1G66830, AT1G80460, AT5G52750, AT2G39660, AT4G21840, AT5G22380, AT3G59880, AT4G03450, AT4G23220, AT3G22600, AT2G18690, AT2G25735, AT3G10490, AT1G21240, AT5G41740, AT1G25400, AT1G59590, AT5G60900, AT5G47850, AT1G58225, AT1G66880, AT1G53625, AT2G32680, AT1G26420, AT4G11300, AT4G26070, AT5G52760, AT5G41750, AT1G07000;5.592629124;2.88E-22
regulation of defense response;120;5.464480874;2.49E-24;AT5G19230, AT1G12990, AT5G22520, AT3G01080, AT3G51340, AT1G34420, AT1G67060, AT4G14365, AT2G45760, AT4G36670, AT4G16820, AT5G38700, AT4G36150, AT1G76970, AT1G51790, AT2G04495, AT1G31540, AT1G66780, AT5G64310, AT2G16870, AT4G11000, AT2G23200, AT5G65920, AT5G43910, AT3G15534, AT5G56260, AT2G25460, AT5G46230, AT5G48657, AT5G46510, AT5G52750, AT1G29050, AT4G03450, AT1G68690, AT2G32030, AT5G63490, AT3G20500, AT2G18690, AT5G63930, AT1G53430, AT5G07860, AT5G41740, AT1G25400, AT1G59590, AT5G39050, AT5G47850, AT5G52800, AT1G80450, AT1G51920, AT5G57010, AT2G39360, AT3G43440, AT5G52760, AT5G41750, AT5G59670, AT4G12790, AT1G08050, AT3G57640, AT5G43420, AT5G17650, AT3G21690, AT3G17860, AT4G16500, AT2G20142, AT1G77500, AT3G14590, AT4G14720, AT3G48640, AT2G29350, AT3G26210, AT4G23610, AT5G54720, AT4G14713, AT1G30135, AT5G67340, AT5G66130, AT2G17120, AT1G27770, AT5G12880, AT3G19010, AT4G14390, AT3G46690, AT2G44400, AT1G22400, AT4G31800, AT5G25930, AT3G04210, AT5G45500, AT4G21840, AT5G22380, AT3G59880, AT4G23220, AT1G36622, AT4G05030, AT2G20562, AT2G04515, AT2G25735, AT1G77640, AT3G62010, AT1G27100, AT5G54850, AT3G47570, AT4G00700, AT5G60900, AT4G23470, AT5G45350, AT5G19240, AT5G45510, AT1G61470, AT1G58225, AT3G22275, AT1G66880, AT5G26690, AT3G53150, AT1G53625, AT1G26420, AT4G11300, AT2G02220, AT2G44500, AT5G44820;2.72599625;2.00E-21
response to salicylic acid;86;3.916211293;3.43E-21;AT5G19230, AT1G08050, AT1G12990, AT5G22520, AT3G57640, AT3G51340, AT5G43420, AT4G16500, AT1G77500, AT3G15760, AT1G76970, AT1G51790, AT2G03760, AT3G48640, AT3G50410, AT2G04495, AT1G62810, AT1G65610, AT4G01720, AT5G24530, AT4G36090, AT4G23610, AT5G54720, AT2G17120, AT4G11000, AT2G23200, AT1G43160, AT1G51860, AT1G27770, AT5G53110, AT3G13433, AT1G21310, AT3G46690, AT3G29250, AT2G44400, AT5G56140, AT1G22400, AT5G25930, AT4G31800, AT3G04210, AT5G40690, AT5G45500, AT5G46510, AT5G52750, AT4G10500, AT1G66550, AT4G21840, AT1G28480, AT5G22380, AT3G59880, AT4G03450, AT2G34690, AT4G23220, AT1G36622, AT4G05030, AT2G18690, AT2G04515, AT2G25735, AT5G41740, AT1G20310, AT2G46150, AT4G11070, AT4G00700, AT1G59590, AT5G60900, AT3G50480, AT5G47850, AT2G06010, AT1G14880, AT4G04695, AT5G45510, AT1G61470, AT1G80450, AT1G58225, AT5G26690, AT1G51920, AT1G53625, AT5G57010, AT1G26420, AT5G36930, AT5G52760, AT5G41750, AT2G44500, AT1G02230, AT5G59670, AT3G49060;3.07827262;1.84E-18
defense response to bacterium;177;8.06010929;3.59E-20;AT5G19230, AT1G12990, AT2G13810, AT5G22520, AT1G74710, AT1G67060, AT4G14365, AT4G36670, AT3G14150, AT4G16820, AT3G15760, AT4G36150, AT1G76970, AT1G51790, AT2G04495, AT5G01540, AT3G55700, AT1G65610, AT2G13800, AT4G01720, AT5G24530, AT1G66780, AT2G16870, AT3G57330, AT4G25030, AT5G65240, AT4G27970, AT4G11000, AT2G23200, AT1G02930, AT1G76220, AT3G45440, AT2G19190, AT5G04020, AT4G35070, AT3G53810, AT3G29250, AT2G28570, AT4G16890, AT5G43910, AT2G25460, AT3G27890, AT4G23140, AT5G48657, AT1G73805, AT1G80460, AT4G08900, AT5G46510, AT5G52750, AT4G03450, AT1G68690, AT2G34690, AT2G18690, AT5G03380, AT5G63930, AT1G01230, AT1G51890, AT1G53430, AT1G19250, AT4G34390, AT4G12720, AT4G36290, AT5G41740, AT5G59260, AT2G46150, AT4G11070, AT2G02010, AT1G25400, AT1G59590, AT5G39050, AT5G47850, AT3G09830, AT4G23150, AT1G14880, AT5G22570, AT1G80450, AT3G01830, AT1G69550, AT4G23310, AT1G51920, AT5G48380, AT2G32680, AT4G39610, AT5G57010, AT2G39360, AT5G59830, AT5G52760, AT5G41750, AT2G47130, AT2G27660, AT1G08050, AT3G57640, AT1G08450, AT5G49520, AT2G43700, AT5G43420, AT5G17650, AT3G21690, AT2G38470, AT5G44070, AT4G09890, AT4G16500, AT1G77500, AT4G11850, AT3G48640, AT3G11402, AT3G48080, AT5G17880, AT3G26210, AT4G36090, AT4G23610, AT5G54720, AT2G17120, AT3G22930, AT5G56980, AT1G51860, AT1G27770, AT5G53110, AT5G12880, AT3G19010, AT3G13433, AT1G21310, AT3G46690, AT1G02450, AT1G08830, AT4G31800, AT5G25930, AT1G66910, AT3G04210, AT5G40690, AT5G45500, AT2G39660, AT4G21840, AT5G66200, AT5G22380, AT3G59880, AT3G21630, AT4G23220, AT1G36622, AT5G45060, AT4G05030, AT4G15233, AT2G20562, AT2G04515, AT2G25735, AT1G77640, AT1G02920, AT1G21240, AT1G27100, AT3G45430, AT5G54850, AT3G50950, AT1G20310, AT4G00700, AT5G60900, AT5G45110, AT5G19240, AT1G61470, AT1G58225, AT5G55830, AT1G66880, AT5G26690, AT3G53150, AT5G10600, AT1G53625, AT3G23400, AT1G26420, AT5G36930, AT4G22305, AT4G11300, AT5G54860, AT4G26070, AT2G28830, AT2G44500, AT1G02230, AT4G19660, AT5G04720;2.02760533;1.45E-17
systemic acquired resistance;42;1.912568306;5.01E-18;AT2G13810, AT5G52810, AT3G48090, AT5G48657, AT3G04210, AT3G57640, AT5G52750, AT4G21840, AT1G74710, AT2G38470, AT4G23220, AT1G36622, AT2G18660, AT4G14365, AT5G55460, AT2G18690, AT2G25735, AT1G19250, AT5G41740, AT3G48640, AT1G75040, AT2G04495, AT4G11070, AT5G05960, AT5G60900, AT5G47850, AT5G45110, AT3G48080, AT2G14610, AT1G58225, AT3G01830, AT4G23610, AT1G66880, AT2G43570, AT4G11000, AT1G26420, AT5G55450, AT3G13433, AT5G41750, AT4G19660, AT4G12470, AT2G27660;4.779494368;1.62E-15
regulation of immune system process;31;1.411657559;2.23E-15;AT5G22520, AT3G57640, AT5G46510, AT5G52750, AT4G21840, AT5G22380, AT1G68690, AT4G23220, AT1G36622, AT4G14365, AT4G36150, AT1G27100, AT1G53430, AT1G51790, AT5G41740, AT2G04495, AT1G25400, AT1G59590, AT5G60900, AT3G48080, AT3G26210, AT1G61470, AT1G58225, AT4G23610, AT5G54720, AT1G66880, AT4G11000, AT5G36930, AT4G11300, AT3G19010, AT5G41750;5.499096111;5.99E-13
signal transduction;150;6.830601093;6.07E-14;AT5G45000, AT3G26020, AT1G35230, AT1G69520, AT1G72930, AT5G10930, AT3G44400, AT2G45760, AT4G36670, AT4G16820, AT2G17060, AT3G15760, AT5G49290, AT4G36150, AT1G76970, AT1G51790, AT3G14830, AT4G17350, AT2G47140, AT5G25910, AT1G10340, AT2G13800, AT4G01720, AT1G31540, AT2G16870, AT3G44630, AT4G11000, AT1G01560, AT1G01680, AT5G58320, AT5G04020, AT1G43000, AT5G39340, AT3G29250, AT2G28570, AT4G16890, AT3G15534, AT4G16770, AT1G66830, AT5G46230, AT5G48657, AT1G56230, AT5G46510, AT2G33080, AT1G56510, AT5G48770, AT4G03450, AT2G32030, AT2G19780, AT5G03380, AT1G53430, AT4G14500, AT4G16920, AT1G16260, AT5G41740, AT2G46150, AT5G39050, AT3G46280, AT3G04420, AT5G18350, AT1G80450, AT3G01830, AT1G56520, AT1G69550, AT5G11610, AT2G32680, AT5G57010, AT2G39360, AT2G01450, AT5G41750, AT5G13590, AT2G27660, AT1G63740, AT1G08050, AT5G44870, AT5G43420, AT3G25010, AT2G12400, AT5G17650, AT3G23110, AT1G17600, AT4G01370, AT2G20142, AT5G63710, AT4G32270, AT3G14870, AT1G72850, AT3G48640, AT4G11170, AT4G16860, AT3G11402, AT3G48080, AT3G27260, AT5G17880, AT3G26210, AT5G26751, AT2G35658, AT4G36090, AT3G60540, AT5G54720, AT4G40050, AT5G67340, AT1G17610, AT3G13275, AT5G44920, AT3G11010, AT4G04620, AT3G04210, AT5G40690, AT5G45500, AT3G23010, AT1G15240, AT4G18070, AT4G00300, AT4G21840, AT5G66200, AT4G04220, AT4G05030, AT3G24900, AT2G04515, AT1G77640, AT3G62010, AT1G21240, AT3G47570, AT4G00700, AT5G60900, AT3G17920, AT3G04220, AT3G26470, AT5G45350, AT4G30960, AT4G25810, AT5G41550, AT3G23000, AT1G66880, AT2G33050, AT1G13910, AT5G26690, AT2G38620, AT5G10600, AT1G66090, AT5G10960, AT4G16950, AT1G26420, AT5G36930, AT5G06860, AT5G11250, AT2G25440, AT5G44820, AT1G76160;1.871127209;1.40E-11
defense response to fungus;151;6.876138434;4.12E-13;AT5G19230, AT5G22520, AT1G74710, AT1G34420, AT1G67060, AT4G14365, AT4G36670, AT4G16820, AT3G15760, AT1G13609, AT4G36150, AT1G76970, AT1G51790, AT2G04495, AT5G25910, AT1G65610, AT2G13800, AT4G01720, AT3G23780, AT2G16870, AT4G11000, AT2G23200, AT5G04020, AT3G29250, AT5G43910, AT2G25460, AT3G50470, AT1G66830, AT5G48657, AT5G46510, AT5G52750, AT1G66550, AT1G56510, AT1G29050, AT4G03450, AT1G68690, AT2G18690, AT5G03380, AT4G30070, AT1G24150, AT1G53430, AT1G19250, AT4G34390, AT5G41740, AT2G31865, AT2G46150, AT4G11070, AT2G02010, AT4G19230, AT1G25400, AT1G59590, AT5G39050, AT3G46280, AT5G47850, AT3G50480, AT1G14880, AT1G29340, AT3G01830, AT1G51920, AT3G04300, AT2G32680, AT5G57010, AT2G39360, AT5G52760, AT5G41750, AT2G27660, AT1G08050, AT3G57640, AT5G43420, AT3G21690, AT1G61560, AT2G38470, AT2G35000, AT2G39200, AT5G38900, AT3G48640, AT4G16860, AT4G23570, AT3G26210, AT5G42980, AT4G36090, AT4G23610, AT5G54720, AT5G64750, AT2G17120, AT1G53920, AT5G07690, AT1G51860, AT1G27770, AT5G53110, AT3G19010, AT3G13790, AT3G13433, AT1G21310, AT5G42740, AT3G46690, AT3G52400, AT2G44400, AT3G13437, AT4G31800, AT5G25930, AT3G04210, AT5G40690, AT5G45500, AT3G59640, AT2G39660, AT4G21840, AT5G22380, AT3G59880, AT3G21630, AT4G23220, AT1G36622, AT4G05030, AT3G22600, AT2G22860, AT2G20562, AT2G25735, AT1G02920, AT1G21240, AT1G27100, AT1G20310, AT4G00700, AT3G11820, AT5G60900, AT5G59580, AT1G03850, AT3G04220, AT5G45110, AT5G19240, AT3G59930, AT1G15010, AT1G61470, AT1G58225, AT1G66880, AT5G26690, AT3G53150, AT5G10600, AT1G53625, AT5G26170, AT2G32240, AT4G16950, AT1G26420, AT5G36930, AT4G11300, AT5G54860, AT5G61420, AT1G76040, AT2G44500, AT1G02230, AT4G19660, AT4G12470;1.82326581;8.29E-11
defense response;127;5.783242259;5.51E-13;AT1G14410, AT3G26020, AT4G04840, AT2G31880, AT4G24970, AT5G43980, AT1G72930, AT4G02380, AT2G13650, AT1G28380, AT5G05190, AT3G44400, AT2G45760, AT4G11890, AT2G17060, AT4G36150, AT4G15975, AT5G03320, AT1G05010, AT2G31890, AT5G46500, AT2G14610, AT1G31540, AT2G16870, AT5G66210, AT1G67470, AT5G45490, AT1G23130, AT3G44630, AT5G05110, AT5G04020, AT1G09960, AT4G16890, AT4G16770, AT5G15130, AT5G46510, AT1G56510, AT5G48770, AT1G17860, AT4G27220, AT5G18800, AT4G30070, AT3G10490, AT4G16920, AT5G41740, AT3G10010, AT3G11340, AT5G18350, AT3G23560, AT3G22231, AT1G56520, AT1G69550, AT4G23310, AT2G17220, AT2G43570, AT4G14610, AT3G43440, AT5G41750, AT5G38350, AT1G77330, AT2G47010, AT1G63740, AT3G25250, AT5G03406, AT3G48090, AT3G01280, AT5G44870, AT1G61560, AT4G29140, AT2G39200, AT1G17600, AT3G17860, AT4G16500, AT1G72850, AT2G03760, AT4G13190, AT1G75040, AT4G11170, AT4G16860, AT4G23570, AT3G54420, AT3G48080, AT5G17880, AT1G12280, AT1G66100, AT2G35930, AT2G32380, AT1G30135, AT5G66130, AT1G17610, AT2G17120, AT4G25110, AT1G66190, AT1G58848, AT1G43160, AT1G51860, AT3G46730, AT1G75050, AT3G47540, AT3G07040, AT4G17660, AT1G15240, AT5G48450, AT1G17420, AT1G28280, AT2G17430, AT2G21530, AT3G13560, AT1G53350, AT3G11820, AT3G04220, AT3G26470, AT4G23470, AT5G45510, AT5G41550, AT1G57650, AT1G61190, AT3G22275, AT2G17265, AT1G66090, AT4G16950, AT5G36930, AT5G56880, AT1G72520, AT5G11250, AT1G07000, AT4G17880;1.936715224;9.86E-11
response to chitin;74;3.369763206;1.12E-09;AT5G19230, AT1G12990, AT5G22520, AT3G57640, AT5G49520, AT5G43420, AT1G71520, AT2G38470, AT2G35000, AT1G67060, AT4G14365, AT2G20142, AT1G77500, AT1G27200, AT5G38700, AT2G04495, AT5G03720, AT5G25910, AT5G37490, AT2G35930, AT4G23610, AT5G64310, AT4G33050, AT1G27770, AT5G65920, AT3G19010, AT5G04020, AT1G42990, AT3G44350, AT2G25460, AT5G25930, AT3G46090, AT4G31800, AT5G48657, AT3G04210, AT5G52750, AT2G13790, AT5G67410, AT5G66200, AT5G22380, AT1G29050, AT1G68690, AT3G21630, AT2G32030, AT1G74650, AT2G17040, AT2G18690, AT2G25735, AT2G20562, AT5G03380, AT1G77640, AT1G27100, AT5G41740, AT1G20310, AT3G47570, AT5G59780, AT1G25400, AT1G59590, AT5G47850, AT5G20110, AT3G46080, AT5G19240, AT1G61470, AT1G80450, AT3G28210, AT1G58225, AT3G01830, AT1G66880, AT5G57010, AT2G39360, AT4G11300, AT5G52760, AT5G41750, AT2G44500;2.120255278;1.81E-07
