Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009751~response to salicylic acid	11	7.142857142857142	3.4866917962363445E-6	AT5G57550, AT1G56250, AT4G21390, AT1G21910, AT2G01300, AT3G29000, AT3G10580, AT1G16130, AT5G22380, AT1G33760, AT4G13340	119	307	23520	7.081816439931022	7.981351339075848E-4	7.984524213381229E-4	7.810189623569412E-4
GOTERM_BP_DIRECT	GO:0050832~defense response to fungus	18	11.688311688311687	1.6045879602058266E-4	AT1G56250, AT4G21390, AT3G59930, AT3G29000, AT1G16130, AT3G19680, AT5G22380, AT1G33760, AT5G57220, AT5G57550, AT5G38700, AT2G28920, AT2G01300, AT1G52560, AT5G44973, AT5G39580, AT4G13340, AT1G05675	119	1246	23520	2.855254461335096	0.03608099984610613	0.018372532144356715	0.01797138515430526
GOTERM_BP_DIRECT	GO:0031347~regulation of defense response	12	7.792207792207792	4.46806014273853E-4	AT5G57550, AT1G56250, AT5G38700, AT4G21390, AT2G01300, AT3G29000, AT1G16130, AT3G19680, AT5G22380, AT1G33760, AT4G13340, AT1G05675	119	652	23520	3.6376759292674126	0.09727872823736605	0.03410619242290411	0.033361515732447694
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	15	9.740259740259742	0.001249072153603903	AT2G37820, AT1G56250, AT4G21390, AT3G29000, AT1G16130, AT3G19680, AT4G04480, AT5G22380, AT1G33760, AT5G57220, AT5G57550, AT5G38700, AT2G01300, AT4G13340, AT1G05675	119	1101	23520	2.692739221029011	0.2488998742162456	0.07150938079382345	0.06994804060181857
GOTERM_BP_DIRECT	GO:0010411~xyloglucan metabolic process	4	2.5974025974025974	0.0016994133236595142	AT5G57550, AT5G57560, AT4G30280, AT4G25810	119	47	23520	16.821026282853566	0.322602278960493	0.07537067149819235	0.07372502364888686
GOTERM_BP_DIRECT	GO:0019438~aromatic compound biosynthetic process	9	5.844155844155844	0.001974777419166612	AT5G09520, AT5G43120, AT1G21890, AT1G21120, AT2G22510, AT3G50400, AT1G05450, AT5G38540, AT4G33610	119	450	23520	3.952941176470588	0.36407276884723805	0.07537067149819235	0.07372502364888686
GOTERM_BP_DIRECT	GO:0010035~response to inorganic substance	9	5.844155844155844	0.005370079573282546	AT1G56250, AT5G38700, AT4G21390, AT4G37409, AT5G22550, AT4G25810, AT1G64210, AT1G16130, AT1G05675	119	531	23520	3.3499501495513457	0.708601057441963	0.17567831746881474	0.17184254634504148
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	6	3.896103896103896	0.007683567675141042	AT4G10250, AT5G57220, AT1G35140, AT5G57560, AT1G14540, AT4G30280	119	243	23520	4.880174291938998	0.8290410116119923	0.1982071835058712	0.19387951574373427
GOTERM_BP_DIRECT	GO:0002237~response to molecule of bacterial origin	5	3.2467532467532463	0.007789801971846466	AT4G21390, AT3G29000, AT1G16130, AT5G22380, AT1G33760	119	155	23520	6.375711574952562	0.8331815063679133	0.1982071835058712	0.19387951574373427
GOTERM_BP_DIRECT	GO:1901362~organic cyclic compound biosynthetic process	8	5.194805194805195	0.013687485180042428	AT5G09520, AT5G43120, AT1G21890, AT2G22510, AT3G50400, AT1G05450, AT5G38540, AT4G33610	119	504	23520	3.1372549019607843	0.957407757389329	0.3134434106229716	0.30659966803295036
GOTERM_BP_DIRECT	GO:0009737~response to abscisic acid	12	7.792207792207792	0.015609858751070481	AT1G56250, AT5G39610, AT3G29000, AT4G25810, AT1G59950, AT1G16130, AT1G09950, AT5G24240, AT4G25580, AT1G05675, AT2G15020, AT5G62490	119	1041	23520	2.2783522630954396	0.9727540771581707	0.3249688776359218	0.31787348729452614
GOTERM_BP_DIRECT	GO:0040007~growth	5	3.2467532467532463	0.017773090882056464	AT5G57550, AT1G50040, AT1G02380, AT5G01740, AT4G13340	119	198	23520	4.991087344028521	0.9835370147210277	0.33916981766591087	0.3317643631317207
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	17	11.03896103896104	0.026508786208377835	AT3G50060, AT1G15210, AT3G29000, AT3G23230, AT1G66560, AT3G19680, AT1G62490, AT5G22380, AT1G33760, AT5G43290, AT1G12610, AT2G18550, AT3G56380, AT5G39610, AT5G10340, AT3G10580, AT2G46990	119	1887	23520	1.7806041335453098	0.9978716831575835	0.46696246474757885	0.45676677774435653
GOTERM_BP_DIRECT	GO:0009733~response to auxin	6	3.896103896103896	0.029182912211501884	AT4G12550, AT5G57560, AT5G39610, AT4G37390, AT4G37290, AT2G46990	119	342	23520	3.46749226006192	0.9988663804311422	0.47734906403099514	0.46692659538403014
GOTERM_BP_DIRECT	GO:0009741~response to brassinosteroid	3	1.948051948051948	0.03223155518264967	AT5G57560, AT3G19680, AT4G08950	119	56	23520	10.588235294117647	0.9994483498619097	0.49206840912178496	0.4813245573942351
GOTERM_BP_DIRECT	GO:1901701~cellular response to oxygen-containing compound	7	4.545454545454546	0.043741380406335795	AT5G57550, AT3G09950, AT1G56250, AT4G21390, AT2G28920, AT3G29000, AT1G16130	119	510	23520	2.71280276816609	0.9999643747358077	0.626048507065681	0.6123793256887011
GOTERM_BP_DIRECT	GO:0042546~cell wall biogenesis	4	2.5974025974025974	0.0504431527061183	AT5G57550, AT5G57560, AT4G30280, AT4G25810	119	165	23520	4.791443850267379	0.9999928829159769	0.6560857758898287	0.6417607589490028
GOTERM_BP_DIRECT	GO:0002213~defense response to insect	3	1.948051948051948	0.05335401113712441	AT5G57220, AT5G09520, AT2G22510	119	74	23520	8.012718600953896	0.9999964766143628	0.6560857758898287	0.6417607589490028
GOTERM_BP_DIRECT	GO:0098542~defense response to other organism	8	5.194805194805195	0.05443506437513863	AT2G22510, AT1G64210, AT1G66560, AT1G05450, AT5G57920, AT3G19680, AT4G04480, AT1G33760	119	677	23520	2.33556347206534	0.9999972878032726	0.6560857758898287	0.6417607589490028
GOTERM_BP_DIRECT	GO:0006607~NLS-bearing protein import into nucleus	2	1.2987012987012987	0.06330913665849691	AT5G52000, AT1G32880	119	13	23520	30.40723981900452	0.9999996869966037	0.7181376910895771	0.7024578288387129
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	5	3.2467532467532463	0.06585542145362934	AT5G57550, AT5G57560, AT4G30280, AT4G25810, AT4G13340	119	302	23520	3.272302298402805	0.9999998321859334	0.7181376910895771	0.7024578288387129
GOTERM_BP_DIRECT	GO:0009408~response to heat	5	3.2467532467532463	0.07035998436697125	AT4G10250, AT5G57560, AT2G01300, AT1G52560, AT1G12610	119	309	23520	3.1981724728726446	0.9999999445257635	0.7323834736380188	0.7163925681000709
GOTERM_BP_DIRECT	GO:0071310~cellular response to organic substance	4	2.5974025974025974	0.07784000814338006	AT3G09950, AT1G56250, AT4G25810, AT1G16130	119	198	23520	3.9928698752228162	0.9999999912775743	0.7750157332536537	0.7580939923529189
GOTERM_BP_DIRECT	GO:0010120~camalexin biosynthetic process	2	1.2987012987012987	0.09117227964922939	AT1G56250, AT4G21390	119	19	23520	20.804953560371516	0.9999999996893449	0.8699355016530637	0.850941276726141
