Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009451~RNA modification	21	1.9056261343012704	2.123981219569686E-9	AT3G28660, AT2G13600, AT3G25060, AT3G49142, AT2G40720, AT3G28640, AT1G14470, AT3G21470, AT5G27110, AT3G23330, AT2G35030, AT2G33680, AT4G31070, AT5G09950, AT1G25360, AT3G47840, AT3G11460, AT2G04860, AT1G09410, AT5G39350, AT4G39530	909	99	22569	5.266626662666266	2.3193847974445347E-6	2.319387491770097E-6	2.30027166079397E-6
GOTERM_BP_DIRECT	GO:0009416~response to light stimulus	75	6.8058076225045365	7.198858221748328E-6	AT1G61520, AT2G05070, AT4G24050, AT4G08920, AT3G54890, AT2G34555, AT1G19860, AT5G47380, AT5G66740, AT5G15910, AT4G37320, AT5G59400, AT4G12980, AT5G08410, AT3G16175, AT5G47900, AT3G52950, AT2G05100, AT2G41120, AT2G40150, AT2G01260, AT3G63160, AT5G54270, AT5G18570, AT3G06340, AT3G51750, AT1G60000, AT3G22530, AT3G02540, AT1G16840, AT4G39510, AT3G16660, AT1G52510, AT5G56460, AT1G01120, AT1G75210, AT5G63420, AT4G26290, AT2G03730, AT1G79770, AT2G42540, AT1G07700, AT3G23290, AT5G19850, AT4G02920, AT2G29180, AT4G12800, AT3G26960, AT3G56010, AT1G31330, AT4G28750, AT3G51080, AT2G39190, AT5G57960, AT1G74290, AT1G49975, AT3G44020, AT5G41900, AT4G30470, AT2G29650, AT3G08940, AT1G57770, AT4G08930, AT1G06040, AT2G34460, AT4G25130, AT4G27430, AT3G62900, AT4G09350, AT1G31920, AT5G11650, AT4G18610, AT4G28290, AT1G79550, AT3G53830	909	1089	22569	1.7099437216448918	0.007830363195776568	0.003930576589074587	0.0038981817270767197
GOTERM_BP_DIRECT	GO:0009639~response to red or far red light	20	1.8148820326678767	1.5721158359146902E-5	AT5G16030, AT5G65960, AT1G70610, AT5G65890, AT1G52510, AT1G20070, AT3G15354, AT1G29420, AT1G73630, AT3G45210, AT3G62650, AT5G35970, AT1G48745, AT2G47370, AT5G13360, AT3G44380, AT1G76240, AT5G48900, AT3G24190, AT4G38860	909	155	22569	3.2036623017140426	0.017021115636649875	0.005722501642729473	0.005675338167652031
GOTERM_BP_DIRECT	GO:0009640~photomorphogenesis	12	1.0889292196007259	1.18323653632942E-4	AT4G38960, AT3G15354, AT4G08920, AT3G21150, AT1G06040, AT2G42975, AT1G14290, AT1G61620, AT2G46340, AT2G31380, AT3G57290, AT1G01520	909	71	22569	4.196346395202901	0.12121681670042839	0.029225650194170737	0.028984779450812185
GOTERM_BP_DIRECT	GO:0009637~response to blue light	15	1.3611615245009074	1.338170796436389E-4	AT2G36630, AT5G67390, AT3G10910, AT4G08920, AT5G43630, AT4G24700, AT1G29420, AT5G35970, AT1G50020, AT1G48745, AT5G39760, AT2G47370, AT2G46340, AT1G01520, AT3G24190	909	110	22569	3.3856885688568856	0.1359615674688177	0.029225650194170737	0.028984779450812185
GOTERM_BP_DIRECT	GO:0009768~photosynthesis, light harvesting in photosystem I	7	0.6352087114337568	2.337404409981403E-4	AT1G08380, AT3G08940, AT1G61520, AT2G05070, AT3G54890, AT2G05100, AT5G54270	909	23	22569	7.556464342086382	0.2252961074039802	0.036463508795709886	0.03616298537156942
GOTERM_BP_DIRECT	GO:0009645~response to low light intensity stimulus	7	0.6352087114337568	2.337404409981403E-4	AT1G61520, AT2G05070, AT5G67390, AT3G54890, AT1G29420, AT5G19940, AT2G05100	909	23	22569	7.556464342086382	0.2252961074039802	0.036463508795709886	0.03616298537156942
GOTERM_BP_DIRECT	GO:0009644~response to high light intensity	9	0.8166969147005444	5.189845244033881E-4	AT1G61520, AT2G05070, AT4G08920, AT3G54890, AT2G05100, AT1G07600, AT2G42540, AT5G54270, AT3G55280	909	47	22569	4.754371181799031	0.43270635329105145	0.07084138758106248	0.07025752999110867
GOTERM_BP_DIRECT	GO:0009733~response to auxin	27	2.4500907441016335	6.475568924397311E-4	AT3G23050, AT5G18020, AT1G15580, AT5G54510, AT4G37290, AT3G21110, AT4G38850, AT3G43670, AT1G29420, AT1G20470, AT1G47510, AT5G37770, AT2G04550, AT3G09870, AT1G10840, AT1G31340, AT2G18970, AT3G03850, AT1G52830, AT2G22810, AT1G54990, AT5G37020, AT1G04550, AT5G48900, AT4G11280, AT4G32880, AT4G38860	909	322	22569	2.081883033023799	0.5070567285307794	0.07572058899585113	0.07509651820742379
GOTERM_BP_DIRECT	GO:0015994~chlorophyll metabolic process	9	0.8166969147005444	6.934119871414939E-4	AT1G31920, AT1G57770, AT2G29180, AT5G35970, AT4G12800, AT1G79770, AT1G31330, AT5G01410, AT1G04620	909	49	22569	4.560315215194989	0.5311481940264045	0.07572058899585113	0.07509651820742379
GOTERM_BP_DIRECT	GO:0015979~photosynthesis	15	1.3611615245009074	0.0011026786373116004	AT3G02780, AT5G47110, AT1G06680, AT1G14150, AT4G12800, AT1G31330, AT3G22840, AT4G22890, AT2G30570, AT4G28750, AT5G15802, AT1G76550, AT5G08410, AT1G20950, AT5G54270	909	135	22569	2.7587092042537584	0.7002448912579966	0.10766166811069779	0.106774346670225
GOTERM_BP_DIRECT	GO:0018298~protein-chromophore linkage	9	0.8166969147005444	0.001183095253963712	AT3G08940, AT1G61520, AT2G05070, AT3G06640, AT5G47110, AT4G08920, AT3G54890, AT2G05100, AT5G54270	909	53	22569	4.216140481972726	0.7254727810601509	0.10766166811069779	0.106774346670225
GOTERM_BP_DIRECT	GO:0009658~chloroplast organization	19	1.7241379310344827	0.0018355959387157282	AT5G18570, AT3G27750, AT5G15450, AT5G42310, AT3G21580, AT4G12800, AT5G61670, AT4G14605, AT1G11870, AT3G56290, AT3G15354, AT1G01790, AT5G62430, AT3G46950, AT5G63420, AT5G64950, AT4G39460, AT2G46340, AT2G28000	909	207	22569	2.278933690470496	0.8655163594149127	0.15419005885212117	0.1529192616637795
GOTERM_BP_DIRECT	GO:0001732~formation of cytoplasmic translation initiation complex	6	0.5444646098003629	0.003389574410674985	AT5G25754, AT4G33250, AT2G46290, AT1G10840, AT3G57290, AT5G25757	909	26	22569	5.72962680883473	0.9754661769113343	0.2603610020690228	0.258215169634388
GOTERM_BP_DIRECT	GO:0008610~lipid biosynthetic process	18	1.6333938294010888	0.0035763873910580053	AT5G44010, AT5G19850, AT1G60000, AT2G42975, AT3G22530, AT3G02540, AT5G11420, AT1G18340, AT3G61770, AT1G19110, AT1G75210, AT3G45210, AT1G50020, AT5G13360, AT1G14290, AT4G34640, AT1G58270, AT3G10840	909	203	22569	2.2015314831975807	0.980007845655389	0.2603610020690228	0.258215169634388
GOTERM_BP_DIRECT	GO:0009642~response to light intensity	19	1.7241379310344827	0.004721865816662231	AT5G16030, AT2G28080, AT2G29180, AT2G42975, AT2G15960, AT5G16400, AT5G65890, AT3G03850, AT4G01130, AT1G73990, AT1G73470, AT1G76410, AT3G62650, AT5G35970, AT1G76240, AT1G75460, AT4G38700, AT2G44870, AT3G24190	909	226	22569	2.0873419200327112	0.9943068384625848	0.3222673419871973	0.31961129246532477
GOTERM_BP_DIRECT	GO:0009057~macromolecule catabolic process	7	0.6352087114337568	0.008904661928435954	AT3G61690, AT1G21670, AT1G73470, AT3G06340, AT5G65960, AT5G19160, AT4G01130	909	45	22569	3.8621928859552623	0.9999427133844483	0.5397538100321329	0.5353052896197801
GOTERM_BP_DIRECT	GO:0009793~embryo development ending in seed dormancy	38	3.4482758620689653	0.009192049999228052	AT1G11680, AT5G49820, AT3G01580, AT3G27750, AT3G54010, AT2G29180, AT5G49560, AT5G46290, AT1G62390, AT1G14610, AT2G15890, AT2G21650, AT4G39800, AT4G21800, AT1G53330, AT3G62310, AT5G04130, AT2G28000, AT2G28880, AT5G18570, AT4G26300, AT3G55610, AT1G12260, AT1G32230, AT3G21580, AT1G31340, AT5G14850, AT3G04400, AT2G04842, AT5G57930, AT5G63420, AT3G15030, AT4G35930, AT1G80410, AT4G30580, AT3G10840, AT4G33990, AT2G22250	909	611	22569	1.5441547428065228	0.9999582635986751	0.5397538100321329	0.5353052896197801
GOTERM_BP_DIRECT	GO:0065003~macromolecular complex assembly	14	1.2704174228675136	0.009459452953611348	AT1G60260, AT5G16030, AT5G67390, AT4G02920, AT4G24700, AT2G15960, AT5G65890, AT1G73470, AT3G62000, AT3G17880, AT2G27310, AT5G47900, AT1G75460, AT5G59020	909	154	22569	2.2571257125712574	0.9999689182490132	0.5397538100321329	0.5353052896197801
GOTERM_BP_DIRECT	GO:0051453~regulation of intracellular pH	5	0.4537205081669692	0.010670338298564817	AT3G55480, AT3G06370, AT2G18960, AT5G47560, AT5G27150	909	22	22569	5.6428142814281435	0.9999918265597149	0.5397538100321329	0.5353052896197801
GOTERM_BP_DIRECT	GO:0009765~photosynthesis, light harvesting	5	0.4537205081669692	0.010670338298564817	AT1G61520, AT2G05070, AT3G54890, AT2G05100, AT5G54270	909	22	22569	5.6428142814281435	0.9999918265597149	0.5397538100321329	0.5353052896197801
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	4	0.3629764065335753	0.010874161007973372	AT3G57610, AT1G32380, AT3G55010, AT3G21110	909	12	22569	8.276127612761275	0.9999934733632007	0.5397538100321329	0.5353052896197801
